"bedsize","wage_ind","total_cu","total__a","total_pa","less_con","total_op","deprecia","total_ot","net_inco","debt_fin","longterm","times_in","cash_flo","cost_per","occupanc","market_s","hospit_d","medicaid","days_in","days_cas","medica_b","medica_c","medica_d","profit_p","cothhosp","caid_d_g","auspice","meanscoreAMI","meanscoreCHF","census_region","curr_ratio","tot_margin","meanscorePNE"
353,0.81580001115799,57592012,28922824,532023584,353764896,185753408,13207562,4096298,6715676,45.6463470458984,66.539421081543,2.27480483055115,14.305721282959,3889.63989257813,69.8304138183594,54.7265014648438,4.57854557037354,5.20437955856323,42.3494148254395,222.885665893555,55.7289390563965,14.2642793655396,1.46366667747498,-151.560897827148,0,3,1,91,83.5,2,1.99123059352711,0.0361537162214542,68
328,0.781899988651276,43996376,21273872,402516704,282929472,121921688,6063554,2089,13573633,95.3868713378906,1826.28015136719,3.63285946846008,10.7785005569458,3631.11157226563,62.2886734008789,100,4.75556421279907,4.46953582763672,89.1566467285156,175.725143432617,58.9846038818359,12.3947324752808,1.39392387866974,524.932067871094,0,3,1,92.4000015258789,82,2,2.06809442117542,0.111330750276358,82
245,0.92220002412796,32019272,24837644,406387552,265437712,143561920,6803045,0,15826125,99.4478454589844,13602.298828125,4.81889629364014,22.3003826141357,3772.62646484375,67.1870269775391,6.3459095954895,4.14844989776611,6.91619491577148,42.3673973083496,84.8180847167969,44.3710250854492,10.1644420623779,1.57966291904449,619.604919433594,0,3,2,91.1999969482422,75.5,2,1.2891428832783,0.11023901742189,69.4000015258789
103,0.859899997711182,128570216,97850992,113890208,81365496,33465532,0,0,228728,71.1004943847656,202.135559082031,,0.0417012199759483,2681.78198242188,39.853702545166,100,3.13255286216736,2.2612419128418,1223.10009765625,2825.51220703125,49.0022010803223,14.0959758758545,1.20996248722076,362.639709472656,0,3,2,90.1999969482422,91.5,2,1.31393881014512,0.00683473371945798,82.1999969482422
186,0.92220002412796,130906424,104404232,392901760,296312256,98465456,0,0,-2022199,70.5211486816406,193.481140136719,,-0.370374709367752,4086.6953125,65.507438659668,100,3.9647855758667,5.9915885925293,374.724243164063,937.627746582031,47.8110313415527,14.415488243103,1.29098916053772,321.299133300781,0,3,2,86.4000015258789,81.5,2,1.25384212394762,-0.0205371414722337,72
355,0.773400008678436,95357936,48674524,539412224,366800000,179994800,14463463,7215289,-19038976,91.1741561889648,918.650756835938,-0.522953867912292,-1.04085862636566,4174.7763671875,62.4719276428223,45.8224334716797,4.19007205963135,4.46730375289917,41.1861801147461,18.9083919525146,40.786678314209,25.9932308197021,1.70557618141174,-1161.13793945313,0,4,2,91.5999984741211,78,2,1.95909334418966,-0.105775144615289,62
255,0.773400008678436,32300684,8659129,365844480,260591424,109202056,0,3648606,-7042001,58.3410987854004,129.136734008789,,-6.33432149887085,3309.14086914063,63.753963470459,27.9409561157227,3.97794461250305,7.15316104888916,71.9451599121094,108.976470947266,57.4765319824219,13.5374708175659,1.6265754699707,-657.244079589844,0,3,2,86.5999984741211,76.5,2,3.73024630999261,-0.0644859745131539,51.7999992370605
248,0.798500001430511,104237872,25662076,291319072,134143984,157813920,1438807,8518608,10492372,55.8912162780762,99.9916305541992,2.96686887741089,9.80435180664063,3843.59301757813,74.2167510986328,100,4.45231628417969,6.49136161804199,23.8935031890869,223.296829223633,49.5824699401855,19.0157928466797,1.53316390514374,50.4777793884277,0,3,1,90.4000015258789,96,2,4.06194229960195,0.0664857193839428,91
718,0.92220002412796,155096640,25682116,1636901632,1029373056,731056640,0,0,22023474,16.5587825775146,0,6.3326997756958,85.7541275024414,8122.59619140625,79.5619506835938,27.3524379730225,5.6675181388855,6.79429578781128,54.2514915466309,19.8316974639893,29.1058368682861,20.4505348205566,1.98911368846893,-2312.98779296875,1,4,1,98.5999984741211,94,2,6.03909117145955,0.0301255371950387,56.7999992370605
115,0.92220002412796,15032519,10352825,220826288,149081088,73577952,4422676,0,-2638225,58.6395111083984,113.82999420166,,3.39758801460266,3918.39892578125,74.260871887207,73.5970153808594,3.55589771270752,2.7585301399231,40.2790603637695,130.605514526367,59.4270324707031,10.1151714324951,1.19931900501251,-275.675323486328,0,3,1,87.1999969482422,78,2,1.45202097012168,-0.0358561896368086,73.1999969482422
125,0.804400026798248,9331414,1792621,170059600,132839368,37438908,1727323,48036,8218265,-49.3918342590332,-37.4609870910645,10035.51171875,-73.8197174072266,3121.84057617188,38.2575340270996,24.2818851470947,3.88579702377319,3.26038789749146,69.7670745849609,10.0986604690552,64.480094909668,6.7430534362793,1.17218232154846,994.20703125,0,2,3,85.4000015258789,71,2,5.20545837631044,0.219511343653506,77
695,0.89029997587204,554580352,66271344,1233303040,824974720,424624032,28460968,26103618,30097812,62.1650619506836,141.571640014648,2.62523078918457,12.2263021469116,4401.38134765625,71.4366836547852,79.6978302001953,4.81678295135498,7.87965822219849,71.0843963623047,25.6040019989014,49.4771461486816,11.2009363174438,1.62350404262543,-208.97770690918,0,3,1,86.8000030517578,76,2,8.36832812685978,0.0708810847521697,78.1999969482422
244,0.859899997711182,30604554,7652644,570825856,444574880,128236384,0,0,4202771,90.4038238525391,890.800170898438,1.44470691680908,2.98948907852173,4023.70239257813,65.8915328979492,52.1192207336426,4.68976259231567,5.79201698303223,76.9355010986328,-2.02557468414307,73.5920104980469,14.0943717956543,1.44255220890045,740.833190917969,0,3,3,71.4000015258789,76.5,2,3.99921308243269,0.0327736237478437,73.1999969482422
