"abany","abpoor","age","attend","bigbang","cappun","childs","class","closeblk","degree","educ","evolved","fear","fechld","fefam","getahead","gunlaw","happy","hrs1","income06","letdie1","letin1","marhomo","marital","news","obey","paeduc","parsol","partnrs5","pillok","polviews","postlife","pray","premarsx","PRES08","racecen1","rank","relig","region","satjob","sex","sexfreq","spanking","SPKMSLM","thnkself","trust","tvhours","wwwhr","xmarsex"
2,2,60,3,,2,2,2,5,1,12,,2,,,3,1,2,40,6,,,2,3,,3,12,3,,,5,2,2,,,1,5,2,9,1,2,,,2,1,2,,,1
1,1,39,7,1,1,3,3,2,3,16,1,2,,,1,2,1,40,25,,,2,1,,4,12,1,1,,5,1,4,,2,4,4,2,9,2,1,3,,1,1,2,,,2
1,1,65,0,,2,1,2,6,1,12,,2,3,3,3,1,3,,22,1,3,2,1,1,,,,1,3,2,2,4,4,1,1,5,4,9,2,1,4,2,1,,,4,12,1
,,42,1,,2,0,3,,3,16,,,3,4,,,2,50,19,1,3,,5,4,5,,4,1,1,5,1,2,4,,1,4,4,9,1,2,,,,1,1,2,28,
2,2,25,7,,1,2,1,9,1,13,,2,3,2,1,1,1,,13,1,5,5,1,5,,11,,2,2,4,1,2,4,1,2,5,1,9,,2,5,1,1,,,3,10,1
1,1,38,3,,1,2,2,5,1,14,,1,,,1,2,1,60,16,,,1,3,,4,,3,3,,2,1,2,,1,5,3,1,9,1,2,6,,1,2,2,,,1
2,2,18,8,,2,0,2,6,1,12,,2,3,3,1,1,2,,19,2,5,5,5,5,,9,,0,2,3,1,2,1,,5,4,1,9,,1,,2,2,,,2,5,1
2,2,38,2,,2,0,2,5,0,9,,2,,,1,1,1,40,16,,,2,5,,5,0,1,1,,1,2,4,,,1,7,2,9,1,1,3,,2,3,2,,,1
2,2,41,7,,2,4,3,5,0,9,2,1,,,3,1,1,8,25,,,4,1,,1,0,1,,,3,1,2,,,5,5,2,9,1,2,,,2,2,1,,,1
1,2,20,3,,1,0,3,8,1,14,,2,3,3,3,1,2,30,22,1,4,1,5,4,,,,4,1,2,1,4,4,,1,3,4,9,2,1,1,1,1,,,1,20,1
,,39,0,,1,1,4,,3,16,,,1,4,,,2,,24,1,4,,3,5,3,16,2,8,1,1,1,3,4,1,1,1,4,9,2,1,6,4,,2,1,2,6,
,,57,3,,1,0,2,,2,14,,,3,2,,,2,45,17,2,4,,1,2,2,3,1,1,2,5,2,5,3,1,1,5,2,9,2,1,3,3,,4,1,2,0,
1,1,61,0,,1,5,3,9,0,13,,1,4,3,2,1,2,30,22,1,5,1,1,4,,18,,1,3,2,1,4,4,1,2,3,1,9,3,2,3,2,2,,,9,5,1
2,2,31,2,2,2,0,3,5,3,16,2,2,,,2,1,2,40,18,,,2,5,,4,16,2,9,,3,1,3,,1,4,3,2,9,2,1,1,,2,2,1,,,1
2,2,30,0,,,0,2,5,1,12,,2,3,3,1,1,1,30,17,2,3,2,5,5,,,,9,2,2,2,4,4,,1,,4,9,1,1,5,3,2,,,1,20,1
2,2,68,8,,1,3,2,9,2,14,,1,3,2,1,1,1,89,15,2,3,5,2,1,,8,,1,4,7,1,1,1,2,1,3,1,9,1,2,,1,1,,,2,25,1
1,1,27,0,,2,0,1,7,1,12,,1,,,1,1,2,56,18,,,2,5,,1,14,3,6,,1,1,2,,,5,10,1,9,2,1,1,,2,5,2,,,3
1,1,36,2,,2,2,3,5,4,19,,2,,,2,1,2,45,21,,,1,1,,4,18,3,1,,2,2,6,,1,1,3,4,9,3,1,2,,1,1,1,,,1
,,72,8,,1,5,,,1,12,,,3,2,,,3,,18,2,5,,1,5,4,,5,1,4,6,1,1,1,2,1,,1,9,,1,1,2,,1,2,3,10,
2,2,27,0,,2,1,2,5,1,12,,2,,,1,1,2,,,,,2,1,,4,11,1,1,,3,,2,,1,1,8,2,9,2,2,5,,,5,2,,,1
2,2,22,4,,2,3,2,5,1,12,,2,2,2,1,1,1,20,13,2,1,2,1,5,,,,,2,2,1,5,4,,1,5,2,9,2,1,,4,2,,,4,,1
,,33,2,,1,3,2,,0,9,,,2,2,,,2,,13,2,3,,1,5,2,2,1,,2,4,1,2,4,,5,7,2,9,2,2,,2,,4,2,2,,
,,35,0,,,4,2,1,0,6,,2,,,1,,2,40,13,,,3,1,,,6,3,,,5,,4,,,1,8,2,9,2,1,,,,,,,,2
1,2,18,1,,2,0,2,5,0,11,,2,,,1,2,1,,9,,,5,5,,3,14,2,5,,4,2,5,,,5,5,4,9,,1,5,,1,4,2,,,1
,,48,2,1,1,0,2,,1,12,1,,3,3,,,2,55,18,1,4,,1,1,4,12,2,1,3,4,1,5,4,2,1,5,1,3,3,1,5,2,,3,1,3,12,
2,2,64,2,,1,0,3,9,4,19,,2,2,3,1,1,2,,21,1,3,2,1,1,,13,,1,3,2,2,6,4,1,2,4,4,3,,1,4,2,1,,,3,7,2
,,48,3,,,2,2,,1,12,,,1,2,,,1,40,18,2,,,1,5,2,12,5,9,4,5,,1,3,1,5,8,2,3,2,2,3,4,,1,1,0,15,
1,1,44,7,,,2,2,1,0,6,,2,2,2,2,1,1,,,1,3,2,1,3,,12,,1,3,4,2,2,1,,1,5,2,3,2,2,,2,2,,,2,,1
1,1,42,2,,1,0,3,4,1,15,,1,3,3,1,1,2,45,23,1,2,1,1,2,,,,1,2,4,1,5,4,,1,4,2,3,1,1,2,2,1,,,3,3,1
,,26,8,,2,1,2,,3,16,,,4,3,,,1,,1,2,3,,1,2,3,13,2,1,2,4,1,1,2,,2,4,1,3,1,2,1,3,,4,2,4,2,
1,1,68,2,,1,4,3,9,0,12,,2,,,3,1,1,,10,,,2,3,,4,,5,1,,5,2,2,,1,2,9,1,3,1,2,1,,1,1,2,,,3
2,2,35,5,,2,2,2,5,0,6,,1,3,3,1,1,1,,10,1,,2,1,1,,,,,3,4,1,2,4,,1,8,2,3,,2,,2,2,,,2,,1
2,2,53,0,,2,2,3,5,3,17,,2,1,1,2,2,2,35,24,2,3,4,5,1,,12,,2,3,5,1,2,1,,2,5,1,3,2,1,,2,1,,,0,2,1
1,1,32,3,,1,4,2,5,1,12,,1,,,1,1,1,50,,,,2,5,,3,,1,,,4,1,2,,,1,5,2,3,1,1,,,2,4,2,,,1
2,2,28,7,,1,2,1,5,1,10,,1,3,1,1,1,2,,14,1,5,5,1,2,,6,,2,4,4,,3,2,,5,5,2,3,2,1,4,2,2,,,2,2,1
,,39,3,,1,1,3,,1,12,,,2,2,,,1,65,20,1,3,,1,1,2,8,2,1,,3,1,1,4,1,1,5,2,3,1,1,3,2,,1,2,1,6,
,,65,3,,1,3,3,,4,18,,,3,3,,,2,,,1,5,,1,1,4,13,3,1,2,6,1,4,3,2,1,3,2,3,1,1,2,2,,2,2,1,10,
1,1,87,2,,1,2,2,5,1,12,,2,,,3,1,2,,,,,2,2,,3,8,1,,,3,,5,,,1,3,2,3,,1,,,1,4,2,,,1
1,1,24,0,,,0,3,4,1,16,,2,,,2,1,2,,18,,,1,5,,5,16,1,5,,4,,6,,1,1,2,5,3,,1,3,,2,2,1,,,2
2,2,39,5,,1,1,2,5,1,12,,2,3,2,1,1,2,30,18,1,1,1,5,4,,,,1,1,1,1,1,3,1,1,1,1,3,1,2,,1,1,,,5,10,1
,,76,0,,,8,1,,0,0,,,2,2,,,2,,,2,3,,1,5,1,,2,,2,,1,1,1,,1,10,1,3,,2,,1,,2,2,2,,
2,2,32,7,1,1,0,2,5,2,14,,2,,,1,2,3,40,19,,,5,5,,4,12,1,9,,6,1,2,,2,1,5,1,3,3,1,6,,1,1,2,,,1
1,1,55,2,,2,1,3,3,2,14,,1,3,2,2,2,3,24,10,1,4,4,5,4,,14,,0,2,4,1,1,2,,1,,1,3,3,2,,4,1,,,1,1,1
1,2,62,3,,1,0,2,7,1,14,,1,3,2,1,1,2,40,16,1,4,4,5,2,,12,,,1,4,1,2,4,1,2,6,1,3,2,1,,2,2,,,3,,2
,,39,5,1,2,3,2,,0,6,1,,3,1,,,3,60,11,1,3,,1,4,4,0,1,1,3,5,,2,1,1,5,7,2,3,3,1,5,1,,1,2,2,,
2,2,30,3,,1,1,2,9,1,12,,1,4,4,3,1,2,40,19,2,3,1,5,3,,3,,1,2,4,1,2,4,1,5,5,2,3,2,2,3,2,2,,,3,20,1
1,1,89,7,,1,8,3,6,0,8,,1,,,1,1,2,,7,,,4,2,,4,11,2,,,1,1,2,,1,2,5,1,3,,2,,,2,3,2,,,3
1,1,35,3,2,1,3,2,7,1,12,2,1,,,1,1,1,38,18,,,2,1,,3,2,2,1,,3,1,2,,1,1,3,2,3,2,2,5,,2,5,2,,,1
,,73,5,,1,3,3,,3,16,,,4,4,,,1,,20,1,5,,1,1,3,8,3,1,4,4,1,1,2,2,1,5,2,3,,2,1,3,,4,1,8,7,
2,2,69,7,,2,2,3,3,3,16,,1,,,3,2,2,,21,,,2,1,,4,12,3,1,,5,1,1,,2,1,4,1,3,,2,0,,2,1,2,,,3
,,89,7,1,2,1,3,,1,12,,,3,,,,2,,16,1,4,,2,1,3,8,,,3,6,1,3,1,,1,1,1,3,,2,,3,,5,1,3,,
1,1,55,2,,1,2,3,4,3,16,1,1,,,1,1,1,46,25,,,3,1,,5,16,2,0,,4,1,5,,,1,2,1,3,3,1,,,1,1,1,,,1
1,1,43,7,,1,2,3,5,3,17,,2,4,4,2,1,2,35,25,1,2,1,1,5,,13,,1,1,4,1,1,4,2,1,5,1,3,2,1,3,2,1,,,1,6,1
1,1,47,7,,1,3,4,4,3,16,,2,2,3,1,1,1,,25,1,3,4,1,1,,14,,1,2,5,1,3,1,,1,3,1,3,1,2,5,2,1,,,1,5,1
,,68,0,,1,2,3,,4,18,,,3,3,,,2,,17,1,3,,3,5,4,13,3,0,3,3,1,5,4,1,1,4,1,3,,2,,2,,1,1,2,0,
1,2,76,6,,2,2,2,5,1,12,,,3,3,2,1,2,,16,1,,4,1,1,,,,,3,4,2,2,,1,1,1,1,3,,2,,3,2,,,4,,
1,1,49,6,,1,3,2,5,1,12,,1,,,1,1,1,40,19,,,2,3,,3,12,5,2,,6,1,2,,2,1,4,1,3,1,2,1,,2,2,2,,,1
1,2,68,6,,2,3,2,9,1,14,,2,2,1,3,1,2,45,20,1,3,4,3,2,,12,,0,1,5,1,2,4,2,1,5,1,3,3,2,,2,2,,,1,4,1
,,59,0,,2,4,3,,2,14,,,3,4,,,1,,21,1,3,,1,4,4,12,1,1,4,2,2,2,3,1,1,4,4,3,,1,5,3,,3,2,3,6,
2,2,74,8,,,4,3,8,3,16,2,2,,,1,,2,,16,,,5,1,,4,8,2,1,,,1,2,,,1,7,1,3,,2,,,,3,1,,,1
,,71,0,,1,2,3,,2,14,,,4,3,,,2,,18,1,3,,1,3,3,10,2,1,1,4,1,3,4,1,1,4,1,3,3,1,1,2,,1,2,2,4,
1,1,32,5,,1,2,2,6,1,12,,2,3,3,1,1,2,,24,1,2,2,5,3,,,,1,2,5,,3,3,1,1,2,2,5,1,2,6,2,2,,,4,20,1
,,30,8,,,0,3,,3,16,,,2,3,,,1,55,19,2,3,,5,1,3,16,2,0,4,6,1,1,1,,1,4,1,5,1,1,,2,,2,2,1,10,
1,1,38,1,,1,1,3,7,4,16,,2,3,2,2,1,1,40,25,1,,1,1,1,,14,,4,1,5,1,2,4,2,1,3,4,5,1,2,4,1,1,,,1,40,3
,,62,2,1,1,1,3,,4,20,1,,4,4,,,1,9,23,1,3,,1,1,4,14,1,1,2,4,1,2,4,1,1,3,1,5,,2,3,2,,1,1,2,4,
,,52,1,,1,1,2,,2,16,,,3,4,,,2,89,22,1,4,,3,4,4,12,1,1,3,3,1,2,4,,1,1,1,5,1,2,,1,,1,2,2,1,
2,2,52,0,1,1,0,3,6,3,16,1,2,,,2,1,2,40,25,,,1,5,,4,12,1,1,,2,1,6,,1,1,4,4,5,3,1,,,1,3,1,,,1
2,2,33,7,,2,4,3,5,2,14,,2,3,3,1,2,2,40,25,2,4,5,1,5,,,,,3,6,1,2,4,2,1,6,2,5,1,1,,2,2,,,1,4,1
2,2,65,7,,1,3,2,5,3,16,2,2,,,1,1,2,16,15,,,4,2,,5,12,3,0,,6,1,2,,2,1,6,3,5,2,2,,,2,1,1,,,1
1,1,55,3,2,1,0,3,9,0,12,1,2,,,,1,3,,,,,5,5,,3,,2,,,6,1,1,,,2,1,4,5,1,1,,,1,4,2,,,1
1,2,35,2,,2,6,2,5,0,9,,1,2,2,1,1,2,50,17,1,3,3,1,3,,6,,1,1,4,1,4,3,,5,5,2,5,2,1,4,2,2,,,2,10,1
,,43,7,,,3,3,9,4,16,,2,,,2,1,1,,20,,,5,1,,2,16,4,1,,4,1,1,,1,2,,1,5,4,2,6,,2,4,1,,,1
,,38,3,,2,0,3,,4,18,,,3,4,,,2,70,22,1,3,,1,1,5,12,4,1,2,3,2,5,3,1,1,5,4,5,2,1,4,3,,2,2,1,10,
1,1,25,0,,2,1,2,9,1,14,,2,2,3,1,1,2,45,18,1,3,2,5,5,,16,,3,4,5,2,5,4,,2,4,1,5,2,1,5,1,2,,,3,24,1
,,81,2,,1,4,3,5,4,18,,2,,,2,,3,,20,,,5,1,,4,,,1,,6,1,3,,2,1,5,1,5,,1,2,,1,1,2,,,1
2,2,23,0,,1,1,2,6,1,12,,1,2,4,2,1,3,10,,2,3,5,3,5,,9,,5,2,,2,6,4,2,1,8,4,5,4,2,6,2,2,,,0,,1
2,1,21,5,,1,0,3,3,1,12,,1,,,1,1,3,40,17,,,3,5,,3,12,3,3,,4,1,3,,,1,6,2,5,1,2,3,,2,2,2,,,1
2,2,56,2,,1,4,3,5,1,12,,2,,,1,1,2,32,23,,,5,1,,4,16,4,1,,4,1,4,,,1,4,2,5,1,2,4,,2,1,2,,,1
,,30,3,,2,0,2,,1,11,,,2,3,,,2,46,15,1,3,,5,1,3,,5,2,1,4,1,5,4,,1,7,1,5,2,2,4,1,,4,2,6,50,
2,2,62,7,,2,3,3,6,1,12,2,1,,,1,2,2,,,,,5,1,,3,12,3,1,,7,1,1,,2,1,6,2,5,1,2,2,,1,1,1,,,1
,,75,3,,2,2,3,,4,20,,,3,3,,,3,,19,2,3,,5,1,5,8,1,,2,2,1,2,3,1,2,1,1,5,,1,,3,,1,1,3,3,
1,1,46,0,,2,2,3,,4,18,,2,3,3,1,2,2,60,25,1,4,1,1,1,,14,,1,4,4,,6,4,1,1,4,4,5,2,1,,3,1,,,1,20,2
2,2,57,7,1,2,3,2,5,0,6,1,1,,,1,1,3,,,,,4,3,,1,4,1,1,,3,1,1,,,2,5,5,5,,1,3,,2,4,2,,,1
2,2,20,3,,2,0,3,9,1,13,,2,2,3,1,1,2,,21,2,4,2,5,3,,,,5,3,5,1,4,4,,2,4,1,5,,1,5,2,2,,,4,5,1
2,1,53,8,,1,8,2,9,3,16,,2,,,2,1,2,40,22,,,3,3,,4,14,2,4,,4,1,1,,1,2,4,1,5,2,2,2,,1,1,2,,,1
1,1,53,4,,1,5,3,4,3,16,,1,2,3,3,2,2,39,25,1,5,5,1,1,,14,,3,3,6,1,2,4,2,1,4,1,5,3,1,5,2,1,,,2,16,2
,,42,8,2,1,3,2,,0,8,2,,3,2,,,1,,17,2,1,,1,1,1,16,2,9,4,1,1,1,1,,2,2,1,5,1,2,,2,,4,1,4,,
2,1,77,7,,1,3,3,6,4,20,,2,3,3,1,2,1,25,25,1,3,5,1,1,,,,1,4,5,1,2,3,2,1,4,1,5,1,1,,2,2,,,2,15,1
2,1,48,0,2,,2,3,9,3,16,1,,,,1,1,,9,17,,,2,4,,2,,3,1,,4,1,2,,1,2,5,4,5,1,2,1,,1,3,,,,1
,,52,6,,2,2,2,,0,4,,,2,2,,,2,35,18,2,,,1,5,1,,2,1,2,,1,1,1,,1,5,1,5,2,2,,3,,2,2,1,,
2,2,31,7,,2,3,3,9,1,13,,2,,,2,1,2,55,19,,,4,1,,3,,2,1,,5,1,1,,1,2,4,1,5,1,1,4,,1,2,2,,,1
1,2,50,5,2,1,1,2,7,2,15,2,1,,,3,1,2,40,17,,,3,5,,3,12,1,1,,5,2,2,,,2,8,1,5,2,2,5,,2,1,2,,,3
,2,38,7,,2,3,2,6,3,16,,2,3,3,1,1,1,40,25,,2,2,1,5,,16,,1,1,4,1,1,4,,1,4,1,5,3,2,3,2,1,,,0,3,1
1,1,33,2,,2,2,1,5,1,14,,2,,,1,1,3,,9,,,1,5,,4,,4,5,,2,1,3,,1,1,7,4,1,,2,2,,1,1,2,,,1
1,1,44,4,,1,0,2,5,3,17,,2,3,3,3,1,2,38,19,1,2,1,5,4,,,,5,2,3,1,4,4,1,2,7,1,1,2,2,2,3,1,,,0,20,3
1,1,27,0,1,2,0,3,7,3,16,1,1,,,2,1,2,50,18,,,1,5,,4,16,3,4,,4,2,6,,1,1,5,4,1,1,2,4,,2,1,1,,,1
,,27,2,,1,0,3,,3,16,,,4,3,,,1,8,11,1,2,,5,1,5,16,1,3,1,4,1,5,4,2,1,3,2,1,2,1,1,1,,1,1,2,30,
1,1,28,2,,1,0,3,2,3,16,,1,3,4,2,1,1,40,24,1,5,1,5,4,,16,,2,1,3,2,6,4,2,1,2,4,1,2,2,5,3,1,,,1,40,1
,,22,0,,,0,3,,3,16,,,2,3,,,1,72,17,1,4,,5,3,3,20,2,1,1,2,2,5,4,1,1,5,2,1,2,1,,2,,1,1,3,12,
2,2,48,3,1,2,2,3,7,4,17,1,2,,,3,1,2,,24,,,1,1,,5,13,2,1,,2,1,2,,1,1,5,2,1,1,2,0,,2,1,2,,,1
2,,89,2,,1,1,2,6,0,8,,2,2,1,1,1,3,,14,1,3,2,3,3,,,,0,1,6,2,2,1,,1,6,2,1,,1,,2,1,,,0,,1
2,1,49,7,,1,2,2,5,3,17,,1,,,1,1,2,48,22,,,4,1,,4,20,3,1,,6,1,2,,2,1,3,2,1,2,2,3,,1,1,2,,,1
,2,87,2,,,2,2,5,1,12,,2,2,3,1,1,2,,8,1,5,3,2,1,,,,0,3,2,2,2,4,1,1,5,2,1,,2,,3,1,,,0,0,2
1,1,64,0,,2,3,1,8,3,17,,2,,,1,1,2,,22,,,1,2,,2,14,3,1,,4,1,6,,,1,5,4,1,,1,3,,1,4,1,,,2
1,1,41,4,,1,3,3,6,2,15,,2,4,4,1,1,2,50,22,1,3,5,1,3,,,,,1,6,1,2,4,2,1,6,1,1,1,1,,2,1,,,2,4,1
,,46,4,,2,3,3,,3,16,,,3,3,,,2,25,,,4,,1,3,5,16,5,1,1,4,1,2,4,1,1,,2,1,2,2,,4,,1,1,2,3,
1,1,58,2,,2,2,4,5,4,16,,2,4,4,1,1,2,20,25,1,3,1,1,1,,16,,1,2,2,1,3,4,1,1,,3,1,2,2,,4,1,,,2,15,3
1,2,78,4,,2,2,3,5,3,16,,2,,,1,1,1,,19,,,1,1,,5,20,2,1,,3,,3,,1,1,1,1,1,,2,2,,1,1,1,,,2
1,1,45,7,,1,3,3,5,4,19,,2,3,3,2,1,2,,25,1,3,1,1,1,,20,,1,2,3,2,5,4,1,1,,2,1,1,2,5,3,2,,,1,10,1
1,1,69,6,1,2,0,3,7,4,20,1,1,,,1,1,3,,16,,,1,5,,5,20,2,0,,2,1,2,,1,1,7,1,1,,2,,,1,1,1,,,2
2,2,61,3,,1,3,2,5,2,16,,2,,,2,1,1,30,24,,,5,1,,4,12,2,,,2,1,3,,1,1,5,2,1,2,1,,,2,3,1,,,1
1,1,48,0,,2,0,3,6,4,16,,2,3,3,2,1,2,55,25,1,2,1,1,2,,16,,1,1,1,2,5,4,,1,5,4,1,2,2,3,2,1,,,0,2,
,,37,2,1,1,0,3,,3,16,1,,3,3,,,2,9,21,1,5,,1,2,4,18,4,1,4,6,1,5,4,2,1,5,2,1,2,1,3,3,,3,2,2,3,
1,1,47,0,,2,1,2,5,1,12,,2,2,3,1,1,2,34,9,1,5,2,3,2,,12,,3,2,3,1,2,4,1,1,6,4,1,3,1,5,3,1,,,4,0,1
1,2,26,0,1,2,0,2,3,4,18,1,1,,,1,2,2,40,20,,,1,5,,5,,1,2,,4,,6,,,4,6,4,1,1,1,2,,2,1,1,,,1
1,1,41,3,,1,1,2,8,1,13,,2,4,4,1,1,2,32,19,1,3,2,3,1,,12,,2,2,3,1,2,4,1,1,1,2,1,1,2,6,4,2,,,2,7,1
,,81,0,,1,4,3,,0,10,,,3,2,,,1,,8,2,3,,2,4,3,8,1,,1,1,2,4,3,,1,4,2,1,,2,,2,,4,1,4,,
1,1,32,1,,2,0,3,5,3,17,,2,3,3,2,2,2,50,22,1,3,1,5,1,,16,,6,3,3,,6,4,1,1,5,4,1,1,1,4,3,1,,,1,30,2
1,1,27,0,,2,1,2,5,1,14,,2,4,3,1,1,1,41,18,1,3,1,1,1,,19,,1,4,5,2,6,4,1,1,5,5,1,1,1,5,4,1,,,1,5,3
2,2,39,7,,2,3,3,7,4,18,,2,,,1,1,2,20,22,,,2,1,,4,12,2,1,,5,1,2,,2,1,5,1,1,2,2,4,,2,2,1,,,1
2,1,55,7,,1,0,3,8,3,16,,2,4,3,1,1,2,37,21,1,3,2,1,3,,8,,1,2,4,1,1,3,1,1,5,2,1,2,2,3,3,2,,,3,7,2
1,1,35,0,1,,0,3,9,3,16,1,2,,,2,2,2,60,25,,,1,1,,5,19,3,1,,4,,6,,1,1,5,4,1,1,1,,,1,3,2,,,1
1,1,64,0,,2,0,3,7,3,17,,2,3,3,,1,1,,16,1,2,1,5,1,,12,,1,2,1,2,6,4,1,1,1,4,1,1,1,4,3,1,,,2,2,3
1,1,85,3,2,1,6,2,1,1,15,,2,,,1,1,2,,14,,,3,2,,4,8,3,0,,4,1,1,,1,1,,1,1,1,2,,,2,3,2,,,1
1,1,52,2,,1,2,2,5,1,12,,1,4,3,1,1,2,,15,1,3,2,5,1,,,,1,3,4,2,4,4,1,1,5,2,1,1,1,,2,1,,,4,4,1
2,2,46,0,,2,4,3,5,1,12,,1,,,2,1,2,,,,,1,5,,5,,,1,,3,1,2,,1,1,5,2,1,,2,,,1,3,2,,,1
2,2,34,8,,1,3,2,4,0,5,,2,2,3,1,1,3,40,2,2,3,4,5,3,,,,,1,3,2,3,1,,5,3,1,1,2,2,,2,2,,,3,0,1
2,2,72,7,,2,2,2,4,1,12,,2,3,2,3,1,2,,10,2,4,4,2,1,,12,,1,3,5,1,2,3,2,1,2,2,1,,1,1,3,2,,,3,0,1
,,34,1,,,1,2,,2,16,,,3,3,,,2,,17,1,3,,3,4,3,,2,5,2,4,1,6,3,1,1,4,4,1,1,2,5,3,,1,2,1,14,
2,2,35,0,1,1,0,2,5,0,10,1,2,,,1,1,2,64,21,,,2,1,,2,8,1,1,,6,1,5,,,1,5,2,1,2,1,4,,2,5,2,,,1
1,2,56,3,,1,3,1,9,1,12,,2,,,2,1,2,,14,,,4,3,,3,10,5,5,,4,1,3,,1,1,5,2,1,,1,4,,1,2,1,,,1
1,1,60,0,,,4,3,5,1,15,,2,3,4,1,1,2,,9,1,5,1,3,1,,,,,1,2,1,6,4,,1,7,2,1,,2,,4,1,,,2,7,1
1,1,65,0,,2,2,3,5,3,16,,2,3,4,2,1,2,,22,1,5,1,1,1,,12,,,2,3,,6,4,1,1,5,1,1,,2,,4,1,,,3,3,1
,,42,0,1,1,2,2,,1,12,1,,3,1,,,2,60,21,1,5,,5,5,1,12,3,,3,1,,6,4,2,1,5,2,1,1,1,,2,,2,2,1,0,
,,27,1,,2,0,3,,4,20,,,3,3,,,2,20,24,1,2,,1,5,2,20,2,1,2,4,2,5,4,,4,4,4,9,2,2,4,2,,3,1,1,20,
1,1,48,0,,2,0,3,5,3,16,,2,3,4,2,1,3,44,24,1,,1,5,2,,,,0,1,3,2,6,,1,1,4,4,9,4,1,,2,1,,,2,21,2
,,25,2,,2,0,3,,3,16,,,3,3,,,1,45,23,1,4,,5,4,5,13,1,5,4,4,1,4,4,,4,4,4,9,2,1,3,3,,2,2,1,8,
1,1,37,2,,1,2,3,8,3,16,2,1,,,1,1,3,30,25,,,5,1,,1,5,1,1,,6,2,6,,1,4,7,4,9,1,2,2,,2,4,2,,,1
1,1,43,0,,2,2,3,7,3,16,,2,3,4,2,2,2,,,1,3,1,1,3,,16,,1,1,3,1,6,3,1,1,,4,9,,2,,3,1,,,0,12,
1,1,54,0,,1,3,3,1,1,14,,2,4,4,2,2,3,,4,1,5,2,3,5,,12,,1,1,1,2,2,4,,1,1,4,9,,2,3,1,1,,,4,,4
1,1,25,2,1,2,0,2,5,1,18,1,1,,,1,1,2,38,11,,,1,5,,4,10,2,1,,3,1,5,,1,1,5,2,9,2,2,4,,2,1,2,,,1
1,1,78,5,,2,2,3,5,3,17,,1,3,3,2,1,2,,14,1,3,2,3,3,,16,,0,,2,,1,4,1,1,4,1,9,,2,,3,1,,,2,4,4
,,64,0,2,1,3,1,,1,11,1,,4,4,,,2,,11,1,3,,3,5,3,18,5,3,3,1,2,5,4,1,1,5,4,9,,1,1,1,,1,1,15,,
1,1,23,5,,1,0,3,9,1,13,,1,4,2,1,1,2,40,21,2,,1,5,2,,12,,6,1,4,,3,4,1,2,1,4,9,2,1,3,2,2,,,1,4,1
1,1,31,0,1,2,0,3,5,3,16,1,1,,,2,1,2,40,25,,,1,5,,5,13,2,5,,2,,6,,1,1,5,4,9,1,2,3,,1,1,2,,,2
,,41,0,,,0,3,5,2,15,,1,3,3,2,1,1,32,25,1,4,3,1,1,,18,,1,2,4,2,2,,1,1,5,4,9,1,1,1,2,1,,,1,5,
1,1,29,1,,2,0,2,9,1,12,,2,4,4,1,1,2,60,15,2,3,1,5,5,,14,,3,1,3,1,4,4,1,2,6,1,9,2,2,5,2,1,,,4,10,1
,,51,1,1,2,2,2,,4,19,1,,3,4,,,1,45,17,1,,,3,1,4,12,4,4,1,3,2,6,4,1,1,8,4,9,3,2,,3,,2,2,1,30,
,,55,4,,1,0,2,,3,18,,,2,3,,,2,42,18,1,4,,3,1,4,8,3,4,3,6,1,4,4,2,3,5,5,9,1,1,1,2,,2,2,4,7,
,,87,7,,2,4,1,,1,13,,,3,3,,,2,,16,2,3,,2,1,2,,1,1,3,4,1,1,1,1,1,5,2,9,,2,,3,,1,1,4,,
,,28,2,1,1,0,4,,3,17,1,,2,3,,,2,50,21,1,3,,5,2,4,19,1,7,4,4,2,5,3,,1,3,1,9,1,1,5,2,,3,1,2,40,
2,2,35,7,,,0,3,4,3,17,,1,3,2,2,1,2,55,25,2,4,5,1,5,,16,,1,4,6,1,1,1,2,1,4,1,9,2,1,5,2,1,,,2,15,1
1,1,37,7,2,2,0,2,1,4,18,2,1,,,1,1,1,45,25,,,5,5,,2,8,1,0,,4,1,4,,,4,2,1,9,2,1,,,2,4,1,,,3
,,84,0,,1,0,1,,1,12,,,3,2,,,2,,19,1,5,,2,1,2,,1,1,4,4,1,1,4,1,1,5,2,9,,1,,2,,3,1,3,2,
1,1,21,2,1,1,0,2,9,1,13,1,1,,,1,1,1,,10,,,1,5,,5,12,1,4,,4,2,6,,,1,6,4,9,,1,0,,2,1,1,,,1
1,1,49,6,,2,2,4,7,3,17,,2,,,1,2,2,40,24,,,2,1,,4,12,3,1,,5,1,2,,1,5,4,2,9,1,1,1,,2,3,1,,,1
1,1,32,7,,1,0,3,5,3,16,,2,,,1,2,1,50,24,,,4,1,,4,10,1,1,,4,1,2,,1,1,1,2,9,2,2,5,,1,3,2,,,1
1,1,48,0,1,1,0,3,5,3,16,2,1,,,1,2,2,,,,,1,1,,5,12,3,1,,1,,6,,2,1,5,1,9,2,2,3,,1,1,2,,,1
1,1,20,0,,1,0,2,1,0,10,,2,2,2,1,2,2,20,19,1,3,3,5,4,,12,,5,2,5,1,5,4,,1,7,2,9,2,1,3,1,2,,,5,10,2
