"abany","abpoor","age","attend","bigbang","cappun","childs","class","closeblk","degree","educ","evolved","fear","fechld","fefam","getahead","gunlaw","happy","hrs1","income06","letdie1","letin1","marhomo","marital","news","obey","paeduc","parsol","partnrs5","pillok","polviews","postlife","pray","premarsx","PRES08","racecen1","rank","relig","region","satjob","sex","sexfreq","spanking","SPKMSLM","thnkself","trust","tvhours","wwwhr","xmarsex"
,,30,3,,,2,2,,1,14,,,4,4,,,2,40,18,,5,,5,5,4,,2,2,2,4,1,2,1,,2,7,1,2,1,2,5,3,,1,2,2,7,
1,1,29,5,1,2,0,3,6,4,18,1,1,,,2,1,1,40,22,,,1,1,,4,18,3,1,,2,1,2,,,4,6,5,2,1,2,4,,1,1,2,,,2
,,51,1,,1,0,3,,4,18,,,4,4,,,2,55,25,1,3,,3,1,4,,3,1,2,5,2,5,4,1,1,5,3,2,2,2,2,2,,3,1,2,10,
2,2,57,7,1,2,3,4,9,3,16,,1,,,1,1,1,60,25,,,4,3,,4,9,1,1,,5,1,1,,1,1,,2,2,1,2,,,1,1,1,,,1
1,1,44,2,,1,2,4,7,3,16,1,2,,,2,1,1,55,25,,,2,1,,4,16,3,1,,5,1,5,,1,1,2,3,2,1,1,,,2,1,,,,1
1,1,73,2,,1,3,4,7,3,16,,1,,,1,1,2,,25,,,2,1,,4,18,1,,,4,2,,,2,1,3,3,2,1,2,,,2,2,1,,,3
,,68,0,2,1,2,4,,4,16,1,,3,2,,,1,40,25,1,3,,1,1,5,16,3,1,3,4,2,6,4,1,1,1,3,2,1,1,,2,,2,1,4,2,
1,1,63,0,1,1,1,4,8,4,19,1,1,,,2,1,1,,25,,,2,3,,4,9,1,0,,4,2,6,,2,1,1,4,2,,1,,,1,2,2,,,1
2,,57,7,2,2,2,2,7,3,16,2,1,,,2,1,2,50,20,,,2,3,,3,12,1,2,,4,1,2,,2,1,5,2,2,2,1,,,2,4,1,,,1
1,1,45,2,,2,2,4,5,4,20,,2,3,4,2,1,1,,25,1,4,1,1,2,,,,1,2,4,2,6,4,,1,2,4,2,2,2,6,3,1,,,1,4,2
,,38,2,1,1,1,3,,2,14,1,,3,3,,,1,45,24,2,3,,5,2,4,,1,1,3,2,1,3,4,1,5,,4,2,3,1,3,1,,1,1,2,50,
1,,46,4,,1,2,3,5,4,20,,1,,,2,1,1,40,25,,,1,1,,4,16,4,1,,3,2,5,,,1,2,3,2,1,1,5,,1,3,2,,,2
2,2,51,0,,2,3,2,7,4,20,,2,4,2,1,1,2,,22,1,5,3,1,5,,16,,1,1,4,1,2,3,,4,3,5,2,,2,5,4,1,,,0,7,3
,1,41,5,1,1,1,2,9,1,14,1,1,,,1,1,2,36,17,,,5,1,,4,,1,1,,4,1,1,,,2,1,1,2,1,2,3,,2,1,2,,,1
1,1,81,0,1,2,5,3,5,0,8,2,1,,,1,1,2,,8,,,3,5,,4,9,3,,,5,1,3,,1,5,5,1,2,,2,,,2,1,2,,,1
,,41,7,2,2,6,1,,0,9,2,,4,1,,,1,,,2,3,,1,4,1,4,4,,1,6,2,3,1,,1,8,1,2,,2,,1,,2,2,0,,
1,1,67,4,,1,2,3,9,4,19,,2,2,4,2,1,3,,20,,4,3,2,1,,,,0,,4,1,2,4,1,2,5,1,2,,2,,4,2,,,5,7,1
,,71,7,,1,2,3,,4,19,,,2,2,,,2,,15,2,3,,2,3,3,3,1,2,4,4,1,1,1,1,2,2,1,2,,1,,2,,2,2,7,,
2,2,35,0,,2,2,2,8,0,6,,2,,,1,2,2,60,,,,5,1,,3,,2,,,4,1,1,,,,5,5,2,4,1,,,1,2,1,,,2
2,2,35,6,,2,2,2,6,3,16,,2,3,2,1,1,3,,,2,3,5,1,4,,6,,1,3,6,1,2,4,1,2,5,1,2,2,1,5,2,2,,,5,2,1
1,2,21,6,1,1,0,3,5,1,14,1,1,,,1,1,3,,,,,3,5,,3,,,0,,6,,2,,,2,7,1,2,,2,,,2,1,,,,1
,,52,5,2,2,2,2,,0,11,1,,3,3,,,2,40,16,1,3,,3,2,2,,5,,2,5,1,2,4,,2,5,2,2,2,2,,2,,4,2,7,,
2,1,49,4,,2,1,2,9,3,16,,1,4,2,2,1,2,40,20,2,5,5,5,4,,,,1,1,3,1,2,4,1,2,1,1,2,2,2,,2,2,,,3,1,3
,,46,0,,2,0,3,,3,16,,,3,4,,,3,35,21,1,3,,5,1,5,12,4,4,1,1,2,6,4,1,1,4,4,2,2,1,4,4,,1,1,0,70,
1,1,51,5,1,1,2,2,5,1,14,1,2,,,3,2,2,40,16,,,1,2,,4,12,5,2,,1,1,2,,1,1,1,2,2,1,2,5,,2,1,1,,,1
1,1,28,2,,1,0,2,5,3,16,,2,3,3,2,1,2,50,23,1,3,2,5,1,,,,1,2,3,2,6,4,,,4,4,2,3,1,6,3,1,,,3,30,3
,2,81,7,,,3,3,5,4,16,,2,4,2,1,1,2,,23,1,3,2,2,1,,12,,1,4,2,1,1,1,2,1,1,1,2,,2,,3,2,,,1,,1
2,2,47,7,,1,3,3,3,3,17,,2,,,2,1,2,27,22,,,5,1,,5,16,1,1,,2,1,1,,,1,3,5,2,2,1,5,,1,2,2,,,1
2,2,48,7,,1,2,2,1,2,14,,2,3,2,2,1,3,60,,1,3,5,1,2,,12,,9,4,2,1,2,2,,1,5,5,2,2,1,,2,2,,,0,2,1
,,46,3,,1,2,3,,3,16,,,3,3,,,2,50,25,1,2,,1,1,5,18,2,1,3,4,1,2,4,1,1,4,4,2,,1,3,3,,1,1,1,40,
,,43,6,,1,3,2,,1,14,,,4,3,,,2,,21,1,2,,1,1,4,6,2,1,2,4,1,1,4,1,1,4,2,2,2,2,4,3,,1,2,2,7,
,,32,7,,2,2,1,,1,13,,,2,2,,,1,40,15,1,3,,1,2,2,9,5,9,1,7,1,1,1,1,5,7,1,2,4,2,4,1,,4,2,2,1,
2,2,23,4,2,1,2,2,5,0,12,2,1,,,1,1,3,8,,,,3,5,,2,,1,9,,4,1,4,,,5,7,2,2,3,2,2,,2,4,2,,,1
,,59,0,,2,0,3,,1,12,,,2,3,,,3,,15,2,2,,5,1,2,12,4,1,2,5,2,6,4,1,1,2,3,2,,1,0,2,,4,2,7,,
,,32,0,,1,0,2,,4,18,,,3,3,,,2,40,25,1,3,,4,1,4,16,4,2,2,3,1,4,4,1,1,3,4,2,1,2,1,2,,2,2,2,13,
